NUTS2_code,process,season,day_type,hour,load,temperature
BG42,shw_residential,1.0,0,17,7749.07,
BG42,shw_residential,1.0,0,18,11370.2,
BG42,shw_residential,1.0,0,19,13698.1,
BG42,shw_residential,1.0,0,20,16284.7,
BG42,shw_residential,1.0,0,21,13439.5,
BG42,shw_residential,1.0,0,22,13439.5,
BG42,shw_residential,1.0,0,23,10335.6,
BG42,shw_residential,1.0,0,24,8007.72,
BG42,shw_residential,1.0,1,1,2845.21,
BG42,shw_residential,1.0,1,2,1551.93,
BG42,shw_residential,1.0,1,3,775.965,
BG42,shw_residential,1.0,1,4,1034.62,
BG42,shw_residential,1.0,1,5,1810.58,
BG42,shw_residential,1.0,1,6,3103.86,
BG42,shw_residential,1.0,1,7,8276.95,
BG42,shw_residential,1.0,1,8,17071.2,
BG42,shw_residential,1.0,1,9,24054.9,
BG42,shw_residential,1.0,1,10,24313.6,
BG42,shw_residential,1.0,1,11,20951.0,
BG42,shw_residential,1.0,1,12,19916.4,
BG42,shw_residential,1.0,1,13,21468.4,
BG42,shw_residential,1.0,1,14,20433.8,
BG42,shw_residential,1.0,1,15,20692.4,
BG42,shw_residential,1.0,1,16,23020.3,
BG42,shw_residential,1.0,1,17,27417.5,
BG42,shw_residential,1.0,1,18,28969.4,
BG42,shw_residential,1.0,1,19,24572.2,
BG42,shw_residential,1.0,1,20,17071.2,
BG42,shw_residential,1.0,1,21,10346.2,
BG42,shw_residential,1.0,1,22,6725.03,
BG42,shw_residential,1.0,1,23,6207.72,
BG42,shw_residential,1.0,1,24,5426.46,
BG42,shw_residential,1.0,2,1,4138.48,
BG42,shw_residential,1.0,2,2,2845.21,
BG42,shw_residential,1.0,2,3,1293.28,
BG42,shw_residential,1.0,2,4,1034.62,
BG42,shw_residential,1.0,2,5,775.965,
BG42,shw_residential,1.0,2,6,2327.9,
BG42,shw_residential,1.0,2,7,8276.95,
BG42,shw_residential,1.0,2,8,17329.9,
BG42,shw_residential,1.0,2,9,27676.1,
BG42,shw_residential,1.0,2,10,30004.0,
BG42,shw_residential,1.0,2,11,29228.0,
BG42,shw_residential,1.0,2,12,24830.9,
BG42,shw_residential,1.0,2,13,21468.4,
BG42,shw_residential,1.0,2,14,15519.3,
BG42,shw_residential,1.0,2,15,10346.2,
BG42,shw_residential,1.0,2,16,8276.95,
BG42,shw_residential,1.0,2,17,10346.2,
BG42,shw_residential,1.0,2,18,13967.4,
BG42,shw_residential,1.0,2,19,14484.7,
BG42,shw_residential,1.0,2,20,13708.7,
BG42,shw_residential,1.0,2,21,13191.4,
BG42,shw_residential,1.0,2,22,10863.5,
BG42,shw_residential,1.0,2,23,8014.79,
BG42,shw_residential,1.0,2,24,5173.1,
BG42,shw_residential,2.0,0,1,2969.25,
BG42,shw_residential,2.0,0,2,1160.42,
BG42,shw_residential,2.0,0,3,450.883,
BG42,shw_residential,2.0,0,4,580.211,
BG42,shw_residential,2.0,0,5,1742.4,
BG42,shw_residential,2.0,0,6,5943.77,
BG42,shw_residential,2.0,0,7,12410.1,
BG42,shw_residential,2.0,0,8,16290.0,
BG42,shw_residential,2.0,0,9,16160.7,
BG42,shw_residential,2.0,0,10,12539.5,
BG42,shw_residential,2.0,0,11,10340.9,
BG42,shw_residential,2.0,0,12,9306.3,
BG42,shw_residential,2.0,0,13,9435.61,
BG42,shw_residential,2.0,0,14,9564.93,
BG42,shw_residential,2.0,0,15,8788.99,
BG42,shw_residential,2.0,0,16,7754.37,
BG42,shw_residential,2.0,0,17,7107.73,
BG42,shw_residential,2.0,0,18,9176.95,
BG42,shw_residential,2.0,0,19,11634.2,
BG42,shw_residential,2.0,0,20,13444.8,
BG42,shw_residential,2.0,0,21,12280.8,
BG42,shw_residential,2.0,0,22,11763.5,
BG42,shw_residential,2.0,0,23,9435.6,
BG42,shw_residential,2.0,0,24,6978.38,
BG42,shw_residential,2.0,1,1,2133.91,
BG42,shw_residential,2.0,1,2,1228.61,
BG42,shw_residential,2.0,1,3,452.647,
BG42,shw_residential,2.0,1,4,711.302,
BG42,shw_residential,2.0,1,5,1745.92,
BG42,shw_residential,2.0,1,6,3815.17,
BG42,shw_residential,2.0,1,7,8535.62,
BG42,shw_residential,2.0,1,8,15260.7,
BG42,shw_residential,2.0,1,9,19916.4,
BG42,shw_residential,2.0,1,10,19528.4,
BG42,shw_residential,2.0,1,11,16941.8,
BG42,shw_residential,2.0,1,12,15907.2,
BG42,shw_residential,2.0,1,13,17200.6,
BG42,shw_residential,2.0,1,14,16036.7,
BG42,shw_residential,2.0,1,15,15907.3,
BG42,shw_residential,2.0,1,16,17329.9,
BG42,shw_residential,2.0,1,17,21080.4,
BG42,shw_residential,2.0,1,18,23537.7,
BG42,shw_residential,2.0,1,19,21339.1,
BG42,shw_residential,2.0,1,20,16166.0,
BG42,shw_residential,2.0,1,21,10863.5,
BG42,shw_residential,2.0,1,22,7242.34,
BG42,shw_residential,2.0,1,23,5949.06,
BG42,shw_residential,2.0,1,24,4556.15,
BG42,shw_residential,2.0,2,1,2974.53,
BG42,shw_residential,2.0,2,2,1810.59,
BG42,shw_residential,2.0,2,3,646.64,
BG42,shw_residential,2.0,2,4,581.974,
BG42,shw_residential,2.0,2,5,581.974,
BG42,shw_residential,2.0,2,6,2392.56,
BG42,shw_residential,2.0,2,7,7113.0,
BG42,shw_residential,2.0,2,8,14743.3,
BG42,shw_residential,2.0,2,9,22632.3,
BG42,shw_residential,2.0,2,10,25736.2,
BG42,shw_residential,2.0,2,11,25348.2,
BG42,shw_residential,2.0,2,12,22115.0,
BG42,shw_residential,2.0,2,13,18364.5,
BG42,shw_residential,2.0,2,14,13579.4,
BG42,shw_residential,2.0,2,15,9182.25,
BG42,shw_residential,2.0,2,16,7630.32,
BG42,shw_residential,2.0,2,17,8794.27,
BG42,shw_residential,2.0,2,18,11380.8,
BG42,shw_residential,2.0,2,19,12156.8,
BG42,shw_residential,2.0,2,20,11380.8,
BG42,shw_residential,2.0,2,21,10992.8,
BG42,shw_residential,2.0,2,22,8794.26,
BG42,shw_residential,2.0,2,23,6464.62,
BG42,shw_residential,2.0,2,24,4267.81,
CH01,shw_residential,0.0,0,1,2845.21,
CH01,shw_residential,0.0,0,2,1034.62,
CH01,shw_residential,0.0,0,3,646.638,
CH01,shw_residential,0.0,0,4,646.638,
CH01,shw_residential,0.0,0,5,1681.26,
CH01,shw_residential,0.0,0,6,4914.43,
CH01,shw_residential,0.0,0,7,9828.88,
CH01,shw_residential,0.0,0,8,12932.7,
CH01,shw_residential,0.0,0,9,13450.1,
CH01,shw_residential,0.0,0,10,10604.9,
CH01,shw_residential,0.0,0,11,8794.28,
CH01,shw_residential,0.0,0,12,7501.0,
CH01,shw_residential,0.0,0,13,8018.31,
CH01,shw_residential,0.0,0,14,8276.96,
CH01,shw_residential,0.0,0,15,7759.65,
CH01,shw_residential,0.0,0,16,6725.03,
CH01,shw_residential,0.0,0,17,6466.38,
CH01,shw_residential,0.0,0,18,6983.69,
CH01,shw_residential,0.0,0,19,9570.23,
CH01,shw_residential,0.0,0,20,10604.8,
CH01,shw_residential,0.0,0,21,11122.2,
CH01,shw_residential,0.0,0,22,10087.5,
CH01,shw_residential,0.0,0,23,8535.6,
CH01,shw_residential,0.0,0,24,5949.05,
CH01,shw_residential,0.0,1,1,3685.83,
CH01,shw_residential,0.0,1,2,1422.6,
CH01,shw_residential,0.0,1,3,905.294,
CH01,shw_residential,0.0,1,4,129.328,
CH01,shw_residential,0.0,1,5,387.983,
CH01,shw_residential,0.0,1,6,1681.26,
CH01,shw_residential,0.0,1,7,4526.47,
CH01,shw_residential,0.0,1,8,8794.28,
CH01,shw_residential,0.0,1,9,13450.1,
CH01,shw_residential,0.0,1,10,15778.0,
CH01,shw_residential,0.0,1,11,14743.3,
CH01,shw_residential,0.0,1,12,12932.7,
CH01,shw_residential,0.0,1,13,11898.1,
CH01,shw_residential,0.0,1,14,12932.7,
CH01,shw_residential,0.0,1,15,11639.5,
CH01,shw_residential,0.0,1,16,11122.2,
CH01,shw_residential,0.0,1,17,11639.5,
CH01,shw_residential,0.0,1,18,14743.3,
CH01,shw_residential,0.0,1,19,18105.9,
CH01,shw_residential,0.0,1,20,18105.9,
CH01,shw_residential,0.0,1,21,15260.7,
CH01,shw_residential,0.0,1,22,11380.8,
CH01,shw_residential,0.0,1,23,7759.65,
CH01,shw_residential,0.0,1,24,5690.41,
CH01,shw_residential,0.0,2,1,3362.52,
CH01,shw_residential,0.0,2,2,1810.59,
CH01,shw_residential,0.0,2,3,775.967,
CH01,shw_residential,0.0,2,4,0.0,
CH01,shw_residential,0.0,2,5,129.328,
CH01,shw_residential,0.0,2,6,387.983,
CH01,shw_residential,0.0,2,7,2457.22,
CH01,shw_residential,0.0,2,8,5949.06,
CH01,shw_residential,0.0,2,9,12156.8,
CH01,shw_residential,0.0,2,10,17588.5,
CH01,shw_residential,0.0,2,11,21468.4,
CH01,shw_residential,0.0,2,12,21468.4,
CH01,shw_residential,0.0,2,13,19399.1,
CH01,shw_residential,0.0,2,14,15260.6,
CH01,shw_residential,0.0,2,15,11639.5,
CH01,shw_residential,0.0,2,16,8018.29,
CH01,shw_residential,0.0,2,17,6983.69,
CH01,shw_residential,0.0,2,18,7242.34,
CH01,shw_residential,0.0,2,19,8794.26,
CH01,shw_residential,0.0,2,20,9828.86,
CH01,shw_residential,0.0,2,21,9052.9,
CH01,shw_residential,0.0,2,22,8794.26,
CH01,shw_residential,0.0,2,23,6725.03,
CH01,shw_residential,0.0,2,24,4914.45,
CH01,shw_residential,1.0,0,1,3093.28,
CH01,shw_residential,1.0,0,2,1286.22,
CH01,shw_residential,1.0,0,3,255.128,
CH01,shw_residential,1.0,0,4,513.783,
CH01,shw_residential,1.0,0,5,1803.53,
CH01,shw_residential,1.0,0,6,6973.1,
CH01,shw_residential,1.0,0,7,14991.4,
CH01,shw_residential,1.0,0,8,19647.2,
CH01,shw_residential,1.0,0,9,18871.2,
CH01,shw_residential,1.0,0,10,14474.1,
CH01,shw_residential,1.0,0,11,11887.6,
CH01,shw_residential,1.0,0,12,11111.6,
CH01,shw_residential,1.0,0,13,10852.9,
CH01,shw_residential,1.0,0,14,10852.9,
CH01,shw_residential,1.0,0,15,9818.32,
CH01,shw_residential,1.0,0,16,8783.7,
CH01,shw_residential,1.0,0,17,7749.07,
CH01,shw_residential,1.0,0,18,11370.2,
CH01,shw_residential,1.0,0,19,13698.1,
CH01,shw_residential,1.0,0,20,16284.7,
CH01,shw_residential,1.0,0,21,13439.5,
CH01,shw_residential,1.0,0,22,13439.5,
CH01,shw_residential,1.0,0,23,10335.6,
CH01,shw_residential,1.0,0,24,8007.72,
CH01,shw_residential,1.0,1,1,5426.46,
CH01,shw_residential,1.0,1,2,2845.21,
CH01,shw_residential,1.0,1,3,1551.93,
CH01,shw_residential,1.0,1,4,775.965,
CH01,shw_residential,1.0,1,5,1034.62,
CH01,shw_residential,1.0,1,6,1810.58,
CH01,shw_residential,1.0,1,7,3103.86,
CH01,shw_residential,1.0,1,8,8276.95,
CH01,shw_residential,1.0,1,9,17071.2,
CH01,shw_residential,1.0,1,10,24054.9,
CH01,shw_residential,1.0,1,11,24313.6,
CH01,shw_residential,1.0,1,12,20951.0,
CH01,shw_residential,1.0,1,13,19916.4,
CH01,shw_residential,1.0,1,14,21468.4,
CH01,shw_residential,1.0,1,15,20433.8,
CH01,shw_residential,1.0,1,16,20692.4,
CH01,shw_residential,1.0,1,17,23020.3,
CH01,shw_residential,1.0,1,18,27417.5,
CH01,shw_residential,1.0,1,19,28969.4,
CH01,shw_residential,1.0,1,20,24572.2,
CH01,shw_residential,1.0,1,21,17071.2,
CH01,shw_residential,1.0,1,22,10346.2,
CH01,shw_residential,1.0,1,23,6725.03,
CH01,shw_residential,1.0,1,24,6207.72,
CH01,shw_residential,1.0,2,1,5173.1,
CH01,shw_residential,1.0,2,2,4138.48,
CH01,shw_residential,1.0,2,3,2845.21,
CH01,shw_residential,1.0,2,4,1293.28,
CH01,shw_residential,1.0,2,5,1034.62,
CH01,shw_residential,1.0,2,6,775.965,
CH01,shw_residential,1.0,2,7,2327.9,
CH01,shw_residential,1.0,2,8,8276.95,
CH01,shw_residential,1.0,2,9,17329.9,
CH01,shw_residential,1.0,2,10,27676.1,
CH01,shw_residential,1.0,2,11,30004.0,
CH01,shw_residential,1.0,2,12,29228.0,
CH01,shw_residential,1.0,2,13,24830.9,
CH01,shw_residential,1.0,2,14,21468.4,
CH01,shw_residential,1.0,2,15,15519.3,
CH01,shw_residential,1.0,2,16,10346.2,
CH01,shw_residential,1.0,2,17,8276.95,
CH01,shw_residential,1.0,2,18,10346.2,
CH01,shw_residential,1.0,2,19,13967.4,
CH01,shw_residential,1.0,2,20,14484.7,
CH01,shw_residential,1.0,2,21,13708.7,
CH01,shw_residential,1.0,2,22,13191.4,
CH01,shw_residential,1.0,2,23,10863.5,
CH01,shw_residential,1.0,2,24,8014.79,
CH01,shw_residential,2.0,0,1,2969.25,
CH01,shw_residential,2.0,0,2,1160.42,
CH01,shw_residential,2.0,0,3,450.883,
CH01,shw_residential,2.0,0,4,580.211,
CH01,shw_residential,2.0,0,5,1742.4,
CH01,shw_residential,2.0,0,6,5943.77,
CH01,shw_residential,2.0,0,7,12410.1,
CH01,shw_residential,2.0,0,8,16290.0,
CH01,shw_residential,2.0,0,9,16160.7,
CH01,shw_residential,2.0,0,10,12539.5,
CH01,shw_residential,2.0,0,11,10340.9,
CH01,shw_residential,2.0,0,12,9306.3,
CH01,shw_residential,2.0,0,13,9435.61,
CH01,shw_residential,2.0,0,14,9564.93,
CH01,shw_residential,2.0,0,15,8788.99,
CH01,shw_residential,2.0,0,16,7754.37,
CH01,shw_residential,2.0,0,17,7107.73,
CH01,shw_residential,2.0,0,18,9176.95,
CH01,shw_residential,2.0,0,19,11634.2,
CH01,shw_residential,2.0,0,20,13444.8,
CH01,shw_residential,2.0,0,21,12280.8,
CH01,shw_residential,2.0,0,22,11763.5,
CH01,shw_residential,2.0,0,23,9435.6,
CH01,shw_residential,2.0,0,24,6978.38,
CH01,shw_residential,2.0,1,1,4556.15,
CH01,shw_residential,2.0,1,2,2133.91,
CH01,shw_residential,2.0,1,3,1228.61,
CH01,shw_residential,2.0,1,4,452.647,
CH01,shw_residential,2.0,1,5,711.302,
CH01,shw_residential,2.0,1,6,1745.92,
CH01,shw_residential,2.0,1,7,3815.17,
CH01,shw_residential,2.0,1,8,8535.62,
CH01,shw_residential,2.0,1,9,15260.7,
CH01,shw_residential,2.0,1,10,19916.4,
CH01,shw_residential,2.0,1,11,19528.4,
CH01,shw_residential,2.0,1,12,16941.8,
CH01,shw_residential,2.0,1,13,15907.2,
CH01,shw_residential,2.0,1,14,17200.6,
CH01,shw_residential,2.0,1,15,16036.7,
CH01,shw_residential,2.0,1,16,15907.3,
CH01,shw_residential,2.0,1,17,17329.9,
CH01,shw_residential,2.0,1,18,21080.4,
CH01,shw_residential,2.0,1,19,23537.7,
CH01,shw_residential,2.0,1,20,21339.1,
CH01,shw_residential,2.0,1,21,16166.0,
CH01,shw_residential,2.0,1,22,10863.5,
CH01,shw_residential,2.0,1,23,7242.34,
CH01,shw_residential,2.0,1,24,5949.06,
CH01,shw_residential,2.0,2,1,4267.81,
CH01,shw_residential,2.0,2,2,2974.53,
CH01,shw_residential,2.0,2,3,1810.59,
CH01,shw_residential,2.0,2,4,646.64,
CH01,shw_residential,2.0,2,5,581.974,
CH01,shw_residential,2.0,2,6,581.974,
CH01,shw_residential,2.0,2,7,2392.56,
CH01,shw_residential,2.0,2,8,7113.0,
CH01,shw_residential,2.0,2,9,14743.3,
CH01,shw_residential,2.0,2,10,22632.3,
CH01,shw_residential,2.0,2,11,25736.2,
CH01,shw_residential,2.0,2,12,25348.2,
CH01,shw_residential,2.0,2,13,22115.0,
CH01,shw_residential,2.0,2,14,18364.5,
CH01,shw_residential,2.0,2,15,13579.4,
CH01,shw_residential,2.0,2,16,9182.25,
CH01,shw_residential,2.0,2,17,7630.32,
CH01,shw_residential,2.0,2,18,8794.27,
CH01,shw_residential,2.0,2,19,11380.8,
CH01,shw_residential,2.0,2,20,12156.8,
CH01,shw_residential,2.0,2,21,11380.8,
CH01,shw_residential,2.0,2,22,10992.8,
CH01,shw_residential,2.0,2,23,8794.26,
CH01,shw_residential,2.0,2,24,6464.62,
CH02,shw_residential,0.0,0,1,2845.21,
CH02,shw_residential,0.0,0,2,1034.62,
CH02,shw_residential,0.0,0,3,646.638,
CH02,shw_residential,0.0,0,4,646.638,
CH02,shw_residential,0.0,0,5,1681.26,
CH02,shw_residential,0.0,0,6,4914.43,
CH02,shw_residential,0.0,0,7,9828.88,
CH02,shw_residential,0.0,0,8,12932.7,
CH02,shw_residential,0.0,0,9,13450.1,
CH02,shw_residential,0.0,0,10,10604.9,
CH02,shw_residential,0.0,0,11,8794.28,
CH02,shw_residential,0.0,0,12,7501.0,
CH02,shw_residential,0.0,0,13,8018.31,
CH02,shw_residential,0.0,0,14,8276.96,
CH02,shw_residential,0.0,0,15,7759.65,
CH02,shw_residential,0.0,0,16,6725.03,
CH02,shw_residential,0.0,0,17,6466.38,
CH02,shw_residential,0.0,0,18,6983.69,
CH02,shw_residential,0.0,0,19,9570.23,
CH02,shw_residential,0.0,0,20,10604.8,
CH02,shw_residential,0.0,0,21,11122.2,
CH02,shw_residential,0.0,0,22,10087.5,
CH02,shw_residential,0.0,0,23,8535.6,
CH02,shw_residential,0.0,0,24,5949.05,
CH02,shw_residential,0.0,1,1,3685.83,
CH02,shw_residential,0.0,1,2,1422.6,
CH02,shw_residential,0.0,1,3,905.294,
CH02,shw_residential,0.0,1,4,129.328,
CH02,shw_residential,0.0,1,5,387.983,
CH02,shw_residential,0.0,1,6,1681.26,
CH02,shw_residential,0.0,1,7,4526.47,
CH02,shw_residential,0.0,1,8,8794.28,
CH02,shw_residential,0.0,1,9,13450.1,
CH02,shw_residential,0.0,1,10,15778.0,
CH02,shw_residential,0.0,1,11,14743.3,
CH02,shw_residential,0.0,1,12,12932.7,
CH02,shw_residential,0.0,1,13,11898.1,
CH02,shw_residential,0.0,1,14,12932.7,
CH02,shw_residential,0.0,1,15,11639.5,
CH02,shw_residential,0.0,1,16,11122.2,
CH02,shw_residential,0.0,1,17,11639.5,
CH02,shw_residential,0.0,1,18,14743.3,
CH02,shw_residential,0.0,1,19,18105.9,
CH02,shw_residential,0.0,1,20,18105.9,
CH02,shw_residential,0.0,1,21,15260.7,
CH02,shw_residential,0.0,1,22,11380.8,
CH02,shw_residential,0.0,1,23,7759.65,
CH02,shw_residential,0.0,1,24,5690.41,
CH02,shw_residential,0.0,2,1,3362.52,
CH02,shw_residential,0.0,2,2,1810.59,
CH02,shw_residential,0.0,2,3,775.967,
CH02,shw_residential,0.0,2,4,0.0,
CH02,shw_residential,0.0,2,5,129.328,
CH02,shw_residential,0.0,2,6,387.983,
CH02,shw_residential,0.0,2,7,2457.22,
CH02,shw_residential,0.0,2,8,5949.06,
CH02,shw_residential,0.0,2,9,12156.8,
CH02,shw_residential,0.0,2,10,17588.5,
CH02,shw_residential,0.0,2,11,21468.4,
CH02,shw_residential,0.0,2,12,21468.4,
CH02,shw_residential,0.0,2,13,19399.1,
CH02,shw_residential,0.0,2,14,15260.6,
CH02,shw_residential,0.0,2,15,11639.5,
CH02,shw_residential,0.0,2,16,8018.29,
CH02,shw_residential,0.0,2,17,6983.69,
CH02,shw_residential,0.0,2,18,7242.34,
CH02,shw_residential,0.0,2,19,8794.26,
CH02,shw_residential,0.0,2,20,9828.86,
CH02,shw_residential,0.0,2,21,9052.9,
CH02,shw_residential,0.0,2,22,8794.26,
CH02,shw_residential,0.0,2,23,6725.03,
CH02,shw_residential,0.0,2,24,4914.45,
CH02,shw_residential,1.0,0,1,3093.28,
CH02,shw_residential,1.0,0,2,1286.22,
CH02,shw_residential,1.0,0,3,255.128,
CH02,shw_residential,1.0,0,4,513.783,
CH02,shw_residential,1.0,0,5,1803.53,
CH02,shw_residential,1.0,0,6,6973.1,
CH02,shw_residential,1.0,0,7,14991.4,
CH02,shw_residential,1.0,0,8,19647.2,
CH02,shw_residential,1.0,0,9,18871.2,
CH02,shw_residential,1.0,0,10,14474.1,
CH02,shw_residential,1.0,0,11,11887.6,
CH02,shw_residential,1.0,0,12,11111.6,
CH02,shw_residential,1.0,0,13,10852.9,
CH02,shw_residential,1.0,0,14,10852.9,
CH02,shw_residential,1.0,0,15,9818.32,
CH02,shw_residential,1.0,0,16,8783.7,
CH02,shw_residential,1.0,0,17,7749.07,
CH02,shw_residential,1.0,0,18,11370.2,
CH02,shw_residential,1.0,0,19,13698.1,
CH02,shw_residential,1.0,0,20,16284.7,
CH02,shw_residential,1.0,0,21,13439.5,
CH02,shw_residential,1.0,0,22,13439.5,
CH02,shw_residential,1.0,0,23,10335.6,
CH02,shw_residential,1.0,0,24,8007.72,
CH02,shw_residential,1.0,1,1,5426.46,
CH02,shw_residential,1.0,1,2,2845.21,
CH02,shw_residential,1.0,1,3,1551.93,
CH02,shw_residential,1.0,1,4,775.965,
CH02,shw_residential,1.0,1,5,1034.62,
CH02,shw_residential,1.0,1,6,1810.58,
CH02,shw_residential,1.0,1,7,3103.86,
CH02,shw_residential,1.0,1,8,8276.95,
CH02,shw_residential,1.0,1,9,17071.2,
CH02,shw_residential,1.0,1,10,24054.9,
CH02,shw_residential,1.0,1,11,24313.6,
CH02,shw_residential,1.0,1,12,20951.0,
CH02,shw_residential,1.0,1,13,19916.4,
CH02,shw_residential,1.0,1,14,21468.4,
CH02,shw_residential,1.0,1,15,20433.8,
CH02,shw_residential,1.0,1,16,20692.4,
CH02,shw_residential,1.0,1,17,23020.3,
CH02,shw_residential,1.0,1,18,27417.5,
CH02,shw_residential,1.0,1,19,28969.4,
CH02,shw_residential,1.0,1,20,24572.2,
CH02,shw_residential,1.0,1,21,17071.2,
CH02,shw_residential,1.0,1,22,10346.2,
CH02,shw_residential,1.0,1,23,6725.03,
CH02,shw_residential,1.0,1,24,6207.72,
CH02,shw_residential,1.0,2,1,5173.1,
CH02,shw_residential,1.0,2,2,4138.48,
CH02,shw_residential,1.0,2,3,2845.21,
CH02,shw_residential,1.0,2,4,1293.28,
CH02,shw_residential,1.0,2,5,1034.62,
CH02,shw_residential,1.0,2,6,775.965,
CH02,shw_residential,1.0,2,7,2327.9,
CH02,shw_residential,1.0,2,8,8276.95,
CH02,shw_residential,1.0,2,9,17329.9,
CH02,shw_residential,1.0,2,10,27676.1,
CH02,shw_residential,1.0,2,11,30004.0,
CH02,shw_residential,1.0,2,12,29228.0,
CH02,shw_residential,1.0,2,13,24830.9,
CH02,shw_residential,1.0,2,14,21468.4,
CH02,shw_residential,1.0,2,15,15519.3,
CH02,shw_residential,1.0,2,16,10346.2,
CH02,shw_residential,1.0,2,17,8276.95,
CH02,shw_residential,1.0,2,18,10346.2,
CH02,shw_residential,1.0,2,19,13967.4,
CH02,shw_residential,1.0,2,20,14484.7,
CH02,shw_residential,1.0,2,21,13708.7,
CH02,shw_residential,1.0,2,22,13191.4,
CH02,shw_residential,1.0,2,23,10863.5,
CH02,shw_residential,1.0,2,24,8014.79,
CH02,shw_residential,2.0,0,1,2969.25,
CH02,shw_residential,2.0,0,2,1160.42,
CH02,shw_residential,2.0,0,3,450.883,
CH02,shw_residential,2.0,0,4,580.211,
CH02,shw_residential,2.0,0,5,1742.4,
CH02,shw_residential,2.0,0,6,5943.77,
CH02,shw_residential,2.0,0,7,12410.1,
CH02,shw_residential,2.0,0,8,16290.0,
CH02,shw_residential,2.0,0,9,16160.7,
CH02,shw_residential,2.0,0,10,12539.5,
CH02,shw_residential,2.0,0,11,10340.9,
CH02,shw_residential,2.0,0,12,9306.3,
CH02,shw_residential,2.0,0,13,9435.61,
CH02,shw_residential,2.0,0,14,9564.93,
CH02,shw_residential,2.0,0,15,8788.99,
CH02,shw_residential,2.0,0,16,7754.37,
CH02,shw_residential,2.0,0,17,7107.73,
CH02,shw_residential,2.0,0,18,9176.95,
CH02,shw_residential,2.0,0,19,11634.2,
CH02,shw_residential,2.0,0,20,13444.8,
CH02,shw_residential,2.0,0,21,12280.8,
CH02,shw_residential,2.0,0,22,11763.5,
CH02,shw_residential,2.0,0,23,9435.6,
CH02,shw_residential,2.0,0,24,6978.38,
CH02,shw_residential,2.0,1,1,4556.15,
CH02,shw_residential,2.0,1,2,2133.91,
CH02,shw_residential,2.0,1,3,1228.61,
CH02,shw_residential,2.0,1,4,452.647,
CH02,shw_residential,2.0,1,5,711.302,
CH02,shw_residential,2.0,1,6,1745.92,
CH02,shw_residential,2.0,1,7,3815.17,
CH02,shw_residential,2.0,1,8,8535.62,
CH02,shw_residential,2.0,1,9,15260.7,
CH02,shw_residential,2.0,1,10,19916.4,
CH02,shw_residential,2.0,1,11,19528.4,
CH02,shw_residential,2.0,1,12,16941.8,
CH02,shw_residential,2.0,1,13,15907.2,
CH02,shw_residential,2.0,1,14,17200.6,
CH02,shw_residential,2.0,1,15,16036.7,
CH02,shw_residential,2.0,1,16,15907.3,
CH02,shw_residential,2.0,1,17,17329.9,
CH02,shw_residential,2.0,1,18,21080.4,
CH02,shw_residential,2.0,1,19,23537.7,
CH02,shw_residential,2.0,1,20,21339.1,
CH02,shw_residential,2.0,1,21,16166.0,
CH02,shw_residential,2.0,1,22,10863.5,
CH02,shw_residential,2.0,1,23,7242.34,
CH02,shw_residential,2.0,1,24,5949.06,
CH02,shw_residential,2.0,2,1,4267.81,
CH02,shw_residential,2.0,2,2,2974.53,
CH02,shw_residential,2.0,2,3,1810.59,
CH02,shw_residential,2.0,2,4,646.64,
CH02,shw_residential,2.0,2,5,581.974,
CH02,shw_residential,2.0,2,6,581.974,
CH02,shw_residential,2.0,2,7,2392.56,
CH02,shw_residential,2.0,2,8,7113.0,
CH02,shw_residential,2.0,2,9,14743.3,
CH02,shw_residential,2.0,2,10,22632.3,
CH02,shw_residential,2.0,2,11,25736.2,
CH02,shw_residential,2.0,2,12,25348.2,
CH02,shw_residential,2.0,2,13,22115.0,
CH02,shw_residential,2.0,2,14,18364.5,
CH02,shw_residential,2.0,2,15,13579.4,
CH02,shw_residential,2.0,2,16,9182.25,
CH02,shw_residential,2.0,2,17,7630.32,
CH02,shw_residential,2.0,2,18,8794.27,
CH02,shw_residential,2.0,2,19,11380.8,
CH02,shw_residential,2.0,2,20,12156.8,
CH02,shw_residential,2.0,2,21,11380.8,
CH02,shw_residential,2.0,2,22,10992.8,
CH02,shw_residential,2.0,2,23,8794.26,
CH02,shw_residential,2.0,2,24,6464.62,
CH03,shw_residential,0.0,0,1,2845.21,
CH03,shw_residential,0.0,0,2,1034.62,
CH03,shw_residential,0.0,0,3,646.638,
CH03,shw_residential,0.0,0,4,646.638,
CH03,shw_residential,0.0,0,5,1681.26,
CH03,shw_residential,0.0,0,6,4914.43,
CH03,shw_residential,0.0,0,7,9828.88,
CH03,shw_residential,0.0,0,8,12932.7,
CH03,shw_residential,0.0,0,9,13450.1,
CH03,shw_residential,0.0,0,10,10604.9,
CH03,shw_residential,0.0,0,11,8794.28,
CH03,shw_residential,0.0,0,12,7501.0,
CH03,shw_residential,0.0,0,13,8018.31,
CH03,shw_residential,0.0,0,14,8276.96,
CH03,shw_residential,0.0,0,15,7759.65,
CH03,shw_residential,0.0,0,16,6725.03,
CH03,shw_residential,0.0,0,17,6466.38,
CH03,shw_residential,0.0,0,18,6983.69,
CH03,shw_residential,0.0,0,19,9570.23,
CH03,shw_residential,0.0,0,20,10604.8,
CH03,shw_residential,0.0,0,21,11122.2,
CH03,shw_residential,0.0,0,22,10087.5,
CH03,shw_residential,0.0,0,23,8535.6,
CH03,shw_residential,0.0,0,24,5949.05,
